"","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","odhad"
"403",3.071426071259,-1.92356924469912,-5.39059405713533,-4.48200737390331,11.3376336227351,0.621168001017659,0.00408171885724183,0.000866981876663352,14
"404",3.07143001738358,-1.92357202770067,-5.39058662680773,-4.48201092728646,11.3376115107208,0.621162770334204,0.0040818000983163,0.000867086398626676,14
"405",3.07142841397932,-1.92357089673669,-5.390589646262,-4.48200948429787,11.3376204969201,0.621164896209348,0.00408176708365875,0.00086704392322914,14
"406",3.07142906558732,-1.92357135632055,-5.39058841924387,-4.48201007086138,11.3376168452887,0.621164032362379,0.00408178049973965,0.000867061183882939,14
"407",3.0714288007975,-1.92357116955723,-5.39058891786966,-4.48200983252918,11.337618329226,0.621164383412759,0.00408177504781217,0.000867054169634092,14
"408",3.07142890840121,-1.9235712454521,-5.39058871524284,-4.48200992938567,11.3376177262005,0.621164240757388,0.00408177726331416,0.000867057020018802,14
"409",3.0714288646743,-1.92357121461056,-5.39058879758458,-4.48200989002688,11.3376179712533,0.621164298728629,0.00408177636299762,0.000867055861704427,14
"410",3.07142888244367,-1.92357122714366,-5.39058876412329,-4.48200990602131,11.337617871671,0.621164275170832,0.00408177672886011,0.000867056332409817,14
"411",3.07142887522271,-1.92357122205057,-5.39058877772099,-4.48200989952166,11.3376179121384,0.621164284744049,0.00408177658018414,0.0008670561411287,14
"412",3.0714288781571,-1.92357122412025,-5.39058877219528,-4.48200990216294,11.3376178956936,0.621164280853768,0.00408177664060178,0.000867056218859808,14
"413",3.07142887696465,-1.92357122327919,-5.39058877444077,-4.48200990108959,11.3376179023763,0.621164282434664,0.0040817766160498,0.000867056187272173,14
"414",3.07142887744923,-1.92357122362097,-5.39058877352827,-4.48200990152577,11.3376178996607,0.621164281792236,0.00408177662602699,0.000867056200108463,14
"415",3.07142887725231,-1.92357122348208,-5.39058877389908,-4.48200990134852,11.3376179007642,0.6211642820533,0.00408177662197257,0.000867056194892185,14
"416",3.07142887733233,-1.92357122353852,-5.39058877374839,-4.48200990142055,11.3376179003158,0.621164281947211,0.00408177662362017,0.000867056197011926,14
"417",3.07142887729981,-1.92357122351559,-5.39058877380963,-4.48200990139128,11.337617900498,0.621164281990322,0.00408177662295064,0.000867056196150521,14
"418",3.07142887731303,-1.92357122352491,-5.39058877378475,-4.48200990140317,11.337617900424,0.621164281972806,0.00408177662322268,0.000867056196500538,14
"419",3.07142887730766,-1.92357122352112,-5.39058877379486,-4.48200990139835,11.337617900454,0.621164281979921,0.00408177662311216,0.000867056196358332,14
"420",3.07142887730984,-1.92357122352266,-5.39058877379075,-4.4820099014003,11.3376179004418,0.621164281977029,0.00408177662315708,0.000867056196416117,14
"421",2.80220467780522,-1.99936845287734,-5.11619343149013,-2.85889086790558,9.77441450072434,0.0176174090017281,0.0192246838338758,-0.00149281997776872,15
"422",3.123836694431,-2.08773195413225,-4.8707564414438,-3.96761738759582,9.83832316011508,0.814408403623267,0.0154245370960242,-0.000748245522233751,15
"423",3.12734526287924,-2.0788398857395,-4.8689856141376,-3.97611789840072,9.71877198142138,0.800396006816,0.00652221764476337,0.0027091274117011,15
"424",3.13015863995297,-2.07203215849638,-4.89149990559019,-4.02083428621749,9.8214470496052,0.794507466847758,0.00584417519337254,0.0022870706604696,15
"425",3.12448561537377,-2.07452192348913,-4.8978494487965,-3.98155758000294,9.84286501771092,0.847898666686989,0.0042295192661324,0.000892308921604718,15
"426",3.13287682988797,-2.07606240506954,-4.87941066876645,-4.00954190759916,9.76314626749071,0.783807243169763,0.00623085576082621,0.00227178682006401,15
"427",3.12275664187956,-2.07177257394856,-4.90072633368923,-3.98785188670286,9.84591728339258,0.816116097350347,0.00544573508661802,0.00145931377940278,15
"428",3.13048444348457,-2.0766231672306,-4.88177003695733,-3.99731720226364,9.77520395708043,0.794320834090226,0.00613960257222242,0.00218231716915803,15
